"age","theta","sd","n","definition","index","item_info"
8,-1.46554383269743,0.986764815374258,35,"bye",62,1.02428216078541
9,-1.3998996488962,0.910950390282428,91,"bye",62,1.00326896111387
10,-1.0617513090185,0.806143169250538,139,"ball",18,1.47089588081464
11,-0.63353584177477,0.773796671699853,94,"ball",18,1.84876679349053
12,-0.364388183233848,0.863224793764912,141,"shoe",299,2.28101751484753
13,-0.0666525680096719,0.782734852154927,768,"shoe",299,2.18535906357332
14,0.0191048843968453,0.974130351407487,119,"car",65,2.01357959509241
15,0.399197776087195,0.972434058042176,114,"door",110,2.36785393127929
16,0.770387414702502,0.787368786239322,720,"chair",70,2.29659026197691
17,0.829495421874516,0.775967225952924,89,"table",332,2.2787631298652
18,1.13364055486458,0.859430339957869,84,"towel",355,2.53044367952866
