"a","b","g","u","definition"
0.762749420267584,-0.878483874491594,0,1,"¡am!"
1.06081004608865,-0.807456231066686,0,1,"¡ay!"
1.26609625855944,0.906429566421322,0,1,"¡pum!"
1.76759043626051,0.985991086308256,0,1,"¡salud!"
0.836090518695357,-0.198780178929773,0,1,"(nombre del niño/a)"
2.18494049927306,0.489106157675597,0,1,"abajo"
2.50970316536361,1.58314615073633,0,1,"abeja"
2.39883926497834,0.0995923386475191,0,1,"abrir"
1.26985101629143,-0.275805696257473,0,1,"abuela"
1.1514558974774,0.329939887378301,0,1,"abuelo"
2.18196861365648,0.64833910017409,0,1,"acabar(se)"
0.518350425061195,2.65649246406011,0,1,"acerrín"
2.27896049597207,0.709041227382426,0,1,"adentro"
0.925562653994122,-1.74957537548579,0,1,"adíos/byebye"
2.33668744115786,0.646011040742699,0,1,"afuera"
1.98414296350379,-1.38461349850678,0,1,"agua"
1.72756118578856,0.511523975960092,0,1,"ahí"
1.79161468349311,1.09525023321018,0,1,"ahorita/ahora"
1.41911886761822,1.98759996819584,0,1,"alberca/piscina"
1.70102535773547,0.718956736671831,0,1,"alla/allí"
2.00006928884171,0.442175049626317,0,1,"almohada"
2.59616673612987,2.16121575765756,0,1,"amarillo"
2.01841855962535,1.05987824361013,0,1,"animal"
2.14092520293193,0.621494937386814,0,1,"apagar"
2.59209710894153,1.20513210911469,0,1,"apurar(se)"
2.05467947124504,1.22563575892918,0,1,"aquel"
2.11519664766188,1.59937548173792,0,1,"aquella"
2.16858282372695,0.589913256117791,0,1,"aquí"
1.88553115182523,1.23338479377184,0,1,"araña"
2.44110833142724,0.559326047008108,0,1,"árbol"
3.13267603051373,1.73461064111666,0,1,"ardilla"
2.02211772948142,1.04856312076629,0,1,"aretes"
2.06453257724117,0.406135845584969,0,1,"arriba"
2.10230432315774,0.957975415964959,0,1,"arroz"
1.63752913566893,2.41529304461606,0,1,"aspiradora"
1.80303003995316,1.21477393346766,0,1,"atole"
2.23927172238538,1.26198753652757,0,1,"atrás"
2.25072150661556,0.292967980753968,0,1,"aventar"
