"age","theta","sd","n","definition","index","item_info"
12,-1.9192697177437,0.631827096829014,141,"mommy*",354,0.826839611672287
13,-1.66790358822355,0.658331802085126,768,"ball",35,0.849036701864808
14,-1.56044705683015,0.633210500498316,126,"ball",35,1.09507531971202
15,-1.18214737650056,0.845189774826671,118,"ball",35,2.09755130816805
16,-0.869145367231082,0.68753169600139,1676,"ball",35,2.33317899947626
17,-0.742111186612542,0.705858183157471,362,"ball",35,2.13958510363689
18,-0.412200308698661,0.743195745385897,526,"shoe",498,3.20995483983066
19,-0.161481811333433,0.736383072255379,328,"ear",194,2.95406429966877
20,-0.0606843649564646,0.737591620987496,274,"ear",194,3.26174342456185
21,0.024501996930029,0.803711241954602,203,"ear",194,3.36936430175299
22,0.309529791214606,0.762550039543744,200,"chair",115,4.21978618581532
23,0.501775314608212,0.731359472437561,262,"hand",261,5.01804801210436
24,0.652021677846118,0.836220168021789,583,"arm",21,4.79937695407551
25,0.808437943223478,0.845937624942547,331,"leg",326,5.8441021175226
26,0.952093153646977,0.753493929150028,181,"table",562,6.26936086990583
27,1.00342799308298,0.785590950176776,195,"table",562,6.13246893700284
28,1.36985599460602,0.762567531115018,797,"find",206,6.26900087717464
29,1.20816761622926,0.817630621247398,198,"find",206,6.36399091154003
30,1.47382512144638,0.680578715935156,295,"make",344,6.22950317476633
31,1.3376943022584,0.467866667180762,14,"find",206,6.46087445371759
32,1.38477771737886,0.655659088649585,13,"find",206,6.1545996172265
33,1.84490393295268,0.668705611522347,17,"long",337,5.00558137865018
34,1.71219782403243,0.587234059791545,10,"hard",263,4.76482917882178
35,1.8555544153638,0.436550110885065,13,"long",337,5.04355586675947
36,2.10934699558956,0.536969008288814,2,"long",337,4.30326228607226
