"age","theta","sd","n","definition","index","item_info"
12,-1.81278048238154,0.729909602589736,89,"agua",21,0.932477141551701
13,-1.66173683799365,0.78032995029886,83,"agua",21,1.18655592851744
14,-1.66387662233231,0.760139811618618,76,"agua",21,1.18292680338434
15,-1.40494241791389,0.759128411061019,61,"agua",21,1.56925481051067
16,-0.839728341268669,1.24738319639924,152,"agua",21,1.38951637109481
17,-0.618466131507287,1.22564412396453,122,"pan",449,1.61220659457606
18,-0.52970075224962,1.08008537071744,151,"pelota",480,1.89936457812861
19,0.171628053571367,1.35267403036462,82,"cama",125,6.39069983335894
20,0.0441653860787338,1.02976851191305,103,"boca",89,4.73996458130449
21,-0.0128699060921423,0.890057917353127,77,"boca",89,4.3062595390191
22,0.138400587558395,0.854339980424074,69,"cama",125,5.95399458593942
23,0.0455674354735022,0.596739258979274,83,"boca",89,4.74936603088901
24,0.65214130731049,1.21314583495338,89,"bolsa (household)",91,5.96673991023773
25,0.732249580749436,1.12649207319357,89,"cocina",170,5.83380533618034
26,0.607054059723878,0.926129437108984,75,"bolsa (household)",91,6.04927399803209
27,0.691561457385221,0.545109502053338,75,"bolsa (household)",91,5.7795516983809
28,0.682601490683125,0.80081866825374,79,"bolsa (household)",91,5.83090369576487
29,0.756937655965313,0.675783993497046,75,"cocina",170,6.05146230623201
30,0.911153530632863,0.689559023437513,62,"cocina",170,6.39759153886257
